Start Time,End Time,Lifestyle Category,Campaign Id,Campaign Name,Campaign Active Status,Amount Spent,Result,Result Type,Cost Per Result,Cost Per Result Type,Paid Impressions,Paid eCPM,Swipe Ups,eCPSU
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Women's Lifestyle,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,9.7,23182,total_impressions,0.42,TOTAL_CPM,23182,0.42,42,0.23
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Automotive Shoppers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,5.03,12075,total_impressions,0.42,TOTAL_CPM,12075,0.42,17,0.3
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Social Drinkers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.14,358,total_impressions,0.4,TOTAL_CPM,358,0.4,0,0.0
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Beer Drinkers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.16,395,total_impressions,0.41,TOTAL_CPM,395,0.41,0,0.0
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Wine Enthusiasts,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.16,380,total_impressions,0.41,TOTAL_CPM,380,0.41,2,0.08
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Liquor & Spirits Drinkers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.15,374,total_impressions,0.4,TOTAL_CPM,374,0.4,1,0.15
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Fun Trivia & Quiz Fanatics,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,3.36,8099,total_impressions,0.41,TOTAL_CPM,8099,0.41,13,0.26
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Meme Watchers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,3.9,9292,total_impressions,0.42,TOTAL_CPM,9292,0.42,14,0.28
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,Chat Fiction Enthusiasts,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.34,816,total_impressions,0.42,TOTAL_CPM,816,0.42,2,0.17
2022-05-02 00:00:00 AST,2022-05-03 00:00:00 AST,High Schoolers,2fa98bb3-35be-4901-a678-e4dc21abd81c,"Eid mubark ",Active,0.0,0,total_impressions,0.0,TOTAL_CPM,0,0.0,0,0.0
